seed,step,action,feature,feature_count,equal_league_log_loss_delta,leagues_improved,worst_league_log_loss_delta,accepted
lineup_continuity,3,add,shots_per90_lineup_mean_trend_1_5,8,-0.003961298068890029,3,0.0038524209223838035,False
lineup_continuity,3,add,retained_starters,8,-0.00394213931187728,2,0.0028389549195216857,False
lineup_continuity,3,add,adjusted_shots_lineup_mean_std_5,8,-0.003922892981155779,3,0.003699499132171713,False
lineup_continuity,3,add,starters_without_history,8,-0.003914200101359877,3,0.003930259708617045,False
lineup_continuity,3,add,adjusted_rating_lineup_std_across_starters_5,8,-0.0038832998557759126,3,0.0023768089173266116,False
lineup_continuity,3,add,shots_per90_lineup_mean_1,8,-0.003851378973977515,3,0.004170254525763584,False
lineup_continuity,3,add,adjusted_defensive_actions_lineup_mean_trend_1_5,8,-0.0038221016383461538,3,0.0025503609299748486,False
lineup_continuity,3,add,key_passes_per90_lineup_mean_ewm,8,-0.003813168757354557,2,0.004497292582561263,False
lineup_continuity,3,add,defensive_actions_per90_lineup_mean_trend_1_5,8,-0.003805937134862036,3,0.0026137088860378466,False
lineup_continuity,3,add,adjusted_rating_lineup_mean_ewm,8,-0.003800018803132499,3,0.0046031496225718005,False
lineup_continuity,3,add,adjusted_shots_lineup_mean_3,8,-0.003786057632590878,3,0.00306977066150238,False
lineup_continuity,3,add,shots_per90_lineup_mean_3,8,-0.0037752773671239303,3,0.003308464228445551,False
lineup_continuity,3,add,fwd_count,8,-0.0036903611777804324,3,0.004843782361209303,False
lineup_continuity,3,add,adjusted_rating_lineup_mean_std_5,8,-0.0036706588926253446,2,0.002914920347711236,False
lineup_continuity,3,add,adjusted_key_passes_lineup_mean_ewm,8,-0.003622102401845795,2,0.0033685589936438554,False
lineup_continuity,3,add,adjusted_defensive_actions_lineup_mean_3,8,-0.0036162915467825353,2,0.003320581099718334,False
lineup_continuity,3,add,rating_lineup_mean_std_5,8,-0.0036162066916020975,2,0.0030856992595302835,False
