model,model_label,feature_set,validation_season,train_matches,validation_matches,validation_leagues,base_feature_count,model_column_count,log_loss,brier_score,accuracy,selected_groups
player_form_logistic,Pooled player-form logistic,team_strength + position_and_distribution + recency,2024-25,5311,1327,5,45,49,0.9862118879889135,0.5823692415074383,0.534296905093482,team_strength|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity + position_and_distribution,2022-23,2743,1335,5,51,55,1.0051875402395951,0.5951289681542219,0.5296327726483713,opponent_adjusted_form|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity + position_and_distribution,2023-24,4078,1233,5,51,55,0.9935335456027292,0.5906662591522058,0.5184027502323054,opponent_adjusted_form|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity + position_and_distribution,2024-25,5311,1327,5,51,55,1.0152189753873553,0.6019551370729006,0.5229159680176949,opponent_adjusted_form|lineup_continuity|position_and_distribution
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity + recency,2022-23,2743,1335,5,48,52,0.9464814882425013,0.5583065333996567,0.5640878647450869,opponent_adjusted_form|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity + recency,2023-24,4078,1233,5,48,52,0.9479090235926447,0.5578863026537593,0.5513707886278187,opponent_adjusted_form|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + lineup_continuity + recency,2024-25,5311,1327,5,48,52,0.9897755977213517,0.5851421794717564,0.5242191556812533,opponent_adjusted_form|lineup_continuity|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + position_and_distribution + recency,2022-23,2743,1335,5,61,65,0.9578945729167527,0.5647452394185122,0.5596414536855968,opponent_adjusted_form|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + position_and_distribution + recency,2023-24,4078,1233,5,61,65,0.9572438551833627,0.5646374460126898,0.532011962069979,opponent_adjusted_form|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,opponent_adjusted_form + position_and_distribution + recency,2024-25,5311,1327,5,61,65,0.9868436235434185,0.5837377223974372,0.5215237192462394,opponent_adjusted_form|position_and_distribution|recency
player_form_logistic,Pooled player-form logistic,lineup_continuity + position_and_distribution + recency,2022-23,2743,1335,5,44,48,0.9770897132024189,0.5752222457704161,0.540361819335406,lineup_continuity|position_and_distribution|recency
